事件,地点
王进母子从东京出走,东京
"王进到达华阴县史家庄,留在庄上教史太公之子史进武艺",华阴县
王进辞别史进，前往延安府,华阴县
史太公因病去世,华阴县
史进结识少华山首领,华阴县
史进邀朱武等三人赏月,华阴县
史进因拒捕奔少华山,少华山
史进至渭州，遇鲁达、李忠。鲁达殴杀郑屠，弃官逃亡,渭州
鲁达至雁门县，藏赵员外家,雁门县
鲁达投五台山文殊院为僧,五台山
鲁智深醉闹五台山,五台山
鲁智深二次醉闹五台山,五台山
鲁智深赴东京，路过桃花山，遇李忠、周通,桃花山
鲁智深离开桃花山,桃花山
鲁智深到达东京大相国寺庙,东京
鲁智深和林冲结交，林冲娘子被高衙内调戏,东京
林冲被骗入白虎节堂,东京
林冲刺配沧州,东京
鲁智深野猪林救林冲,野猪林
鲁智深护送林冲到达沧州,沧州
林冲至沧州，遇到柴进，棒打洪教头,沧州
陆谦火烧草料场，林冲杀死陆谦等人,沧州
柴进推荐林冲上梁山,沧州
林冲梁山入伙,梁山
林冲因投名状和杨志相斗,梁山
王伦梁山宴请杨志，林冲正式入伙梁山,梁山
杨志行贿高俅意图复官未果,东京
杨志卖刀杀牛二,东京
杨志刺配大名府,大名府
杨志于索超比武，升任提辖,大名府
朱仝雷横抓住刘唐,郓城县
晁盖解救刘唐,郓城县
吴用劝解两人打斗,郓城县
七星聚义,郓城县
杨志押运生辰纲启程,大名府
智取生辰纲,黄泥岗
杨志遇到曹正，后遇到鲁智深，一起占据二龙山,黄泥岗
白胜被抓,黄泥岗
白胜移交到济州城,济州城
生辰纲事发，宋江报讯，七星议投梁山,郓城县
朱仝私放晁盖,郓城县
七星打败追兵，阮小七割掉何涛耳朵,梁山
林冲火并王伦，晁盖入主梁山,梁山
梁山破官军，擒黄安,梁山
刘唐夜晚送信给宋江,梁山
宋江纳阎婆惜为外室,郓城县
阎婆惜勾搭张文远，宋江约略知情,郓城县
刘唐送书信金条拜谢宋江，报讯事发，宋江杀惜,郓城县
宋江逃回家,郓城县
朱仝让宋江逃亡,郓城县
宋江至柴进处，遇武松,沧州
武松回乡,沧州
景阳岗打虎,景阳岗
武松逢兄,阳谷县
潘金莲调戏武松、武松去往东京公干,阳谷县
西门庆和潘金莲成奸,阳谷县
毒杀武大,阳谷县
武松杀奸,阳谷县
武松刺配孟州，十字坡打店，遇孙二娘、张青,十字坡
武松遇到施恩,孟州
武松醉打蒋门神,孟州
武松入张都监府,孟州
武松刺配恩州,孟州
武松大闹飞云浦,孟州
武松血溅鸳鸯楼,孟州
十字坡武松改装出家,十字坡
武松大闹蜈蚣岭,十字坡
武松白虎山打孔亮，重逢宋江,白虎山
武松上二龙山，此前鲁智深杨志已经上山,二龙山
宋江清风山被劫，结识燕顺、王英、郑天寿,清风山
宋江放刘高夫人,清风山
宋江下清风山到清风寨见花荣,清风寨
刘高捉宋江，花荣与之相斗,清风寨
刘高二次抓宋江,清风寨
黄信抓花荣,清风寨
清风山众位好汉劫囚车，抓住刘高并处死，黄信逃回清风山,清风山
宋江囚车被劫，黄信一人逃回清风寨，飞马报知慕容知府,清风寨
慕容知府召唤秦明，秦明准备捉拿宋江等人,青州
宋江用计捉秦明，诱降失败后陷害秦明,清风山
秦明回青州后发现自己全家被杀，遂与宋江一起返回清风山,青州
秦明入伙,清风山
秦明拉拢黄信入伙,清风寨
宋江等人去清风寨掳掠,清风寨
清风山中，宋江等人商议投奔梁山,清风山
宋江路收吕方、郭盛,对影山
宋江路遇石勇寄书,对影山
几人上梁山,梁山
宋江返回郓城县被抓,郓城县
宋江刺配江州,郓城县
宋江被请上梁山，而后去往江州,梁山
宋江结识李俊、李立、童威、童猛,揭阳岭
宋江遇到薛永、穆春,揭阳镇
宋江被穆弘、张横、穆春相逼,揭阳镇
李俊赶来解救宋江,揭阳镇
宋江与张横、李俊、穆春、穆宏、童威、童猛、薛永聚会,揭阳镇
宋江到达江州,江州
宋江结识戴宗、李逵和张顺,江州
宋江浔阳楼题诗入狱,江州
戴宗让宋江装疯不成，宋江再次因反诗被捕,江州
戴宗上梁山商议营救宋江,梁山
戴宗为伪造书信，骗二人上山,济州城
戴宗带着伪造书信，出发前往江州,梁山
梁山发兵往江州,梁山
戴宗从梁山返回江州,江州
黄文炳识破假家书,江州
江州处斩宋江、戴宗，梁山劫法场,江州
江州白龙庙聚义29人,江州
29人逃出江州，到达穆太公庄上,揭阳镇
薛永到达江州打探无为军,无为军小城
薛永打探无为军情况返回，并带回侯健,揭阳镇
宋江留下朱贵、宋万看护理消息，其余人等随其攻打无为军,无为军小城
李俊、张顺抓住赶来的黄文炳,无为军小城
宋江等人返回穆太公府上，几人活刮了黄文炳,揭阳镇
宋江等人决定上梁山，杜迁、宋万先回山寨报知,揭阳镇
第一起上梁山,揭阳镇
第二起上梁山,揭阳镇
第三起上梁山,揭阳镇
第四起上梁山,揭阳镇
第五起上梁山,揭阳镇
第一起人马遇到四人，遂一起上梁山,黄门山
